entry_date,exit_date,entered_with,exited_with,return_pct,picks,regime_at_entry,exit_reason
2003-03-31,2003-09-30,3.0,2.8280583317229566,-5.731388942568117,"CBE,BOL,UVN",normal,matured_6m
2003-04-30,2003-10-31,1.0,1.3329786807364614,33.29786807364614,"BOL,UVN,BLL",recovery,matured_6m
2003-06-30,2003-12-31,2.0,2.3327520246119398,16.63760123059699,"EXC,PGR,EBAY",recovery,matured_6m
2003-07-31,2004-01-30,1.0,1.2852844671769625,28.528446717696255,"CCU,XEL,PGR",recovery,matured_6m
2003-09-30,2004-03-31,4.828058331722957,6.2619880237133545,29.69992476206642,"CCU,TUP,WMB",bull,matured_6m
2003-10-31,2004-04-30,2.3329786807364616,2.356924085344668,1.0263876307968323,"RRD,CCU,HAS",recovery,matured_6m
2003-12-31,2004-06-30,4.33275202461194,4.830351317024243,11.484601232328085,"BF.B,MRO,WMB",recovery,matured_6m
2004-03-31,2004-09-30,10.547272490890318,11.29420542240041,7.081763860327084,"ASH,BEN,ADM",bull,matured_6m
2004-04-30,2004-10-29,3.356924085344668,3.0405539667097083,-9.424404919257412,"TLAB,SANM,GLW",bull,matured_6m
2004-05-31,2004-11-30,1.0,1.3113342465434532,31.13342465434532,"WMB,PTC,OXY",recovery,matured_6m
2004-06-30,2004-12-31,5.830351317024243,6.79605644317859,16.563412282456326,"WMB,TJX,BOL",recovery,matured_6m
2004-08-31,2005-02-28,2.0,2.3839434068936525,19.197170344682625,"WOR,CMS,SBUX",normal,matured_6m
2004-09-30,2005-03-31,12.29420542240041,20.56548099115035,67.27783768505631,"WMB,AAPL,GT",normal,matured_6m
2004-11-30,2005-05-31,6.3518882132531616,6.91381312005739,8.84658054327494,"SRE,FE,PPL",recovery,matured_6m
2004-12-31,2005-06-30,7.79605644317859,8.197543110831997,5.149868662183699,"CSX,EXC,MAS",recovery,matured_6m
2005-01-31,2005-07-29,1.0,1.0708523989536998,7.085239895369977,"CSX,CCU,CVG",normal,matured_6m
2005-02-28,2005-08-31,3.3839434068936525,3.402078523327608,0.5359166585650055,"CSX,NVDA,MAS",recovery,matured_6m
2005-03-31,2005-09-30,21.56548099115035,21.718359504421986,0.7089037955349653,"BLL,WEN,IPG",normal,matured_6m
2005-05-31,2005-11-30,8.913813120057391,11.064996267020282,24.133141653176594,"UVN,BLL,PEG",recovery,matured_6m
