date,regime,action,ret_m,equity,picks,n_picks,months_held,year
2003-01-31,normal,init,0.0,1.0,,0,0,2003
2003-02-28,normal,init,0.0,1.0,,0,0,2003
2003-03-31,normal,init,0.0,1.0,,0,0,2003
2003-04-30,recovery,init,0.0,1.0,,0,0,2003
2003-05-30,recovery,init,0.0,1.0,,0,0,2003
2003-06-30,recovery,init,0.0,1.0,,0,0,2003
2003-07-31,recovery,init,0.0,1.0,,0,0,2003
2003-08-29,recovery,init,0.0,1.0,,0,0,2003
2003-09-30,recovery,init,-0.001,0.999,"CSX,NVDA,AAPL",3,1,2003
2003-10-31,recovery,hold_min,0.09988946960032925,1.0987895801307288,"CSX,NVDA,AAPL",3,2,2003
2003-11-28,recovery,hold_min,0.06085596303122963,1.1656574781982647,"CSX,NVDA,AAPL",3,3,2003
2003-12-31,recovery,hold_min,0.05842576599184116,1.2337619092461163,"CSX,NVDA,AAPL",3,4,2003
2004-01-30,bull,hold_min,-0.03570982525253237,1.1897044870637068,"CSX,NVDA,AAPL",3,5,2004
2004-02-27,bull,hold_min,0.0208461291650411,1.2145052204692657,"CSX,NVDA,AAPL",3,6,2004
2004-03-31,bull,low_conv,0.09154042360266108,1.3256815428186657,"AAPL,MO,NVDA",3,1,2004
2004-04-30,bull,hold_min,-0.05679728071779075,1.2503864360888,"AAPL,MO,NVDA",3,2,2004
2004-05-31,bull,hold_min,0.010926096792136752,1.264048279317081,"AAPL,MO,NVDA",3,3,2004
2004-06-30,bull,hold_min,0.06138437066494868,1.3416410874330713,"AAPL,MO,NVDA",3,4,2004
2004-07-30,normal,hold_min,-0.07174582415104072,1.2453839419002872,"AAPL,MO,NVDA",3,5,2004
2004-08-31,normal,hold_min,-0.0008638171263802008,1.244308157922355,"AAPL,MO,NVDA",3,6,2004
2004-09-30,normal,extend,0.07291773588406808,1.3350402915401285,"AAPL,MO,NVDA",3,7,2004
2004-10-29,normal,extend,0.15222653151083948,1.5382688445485022,"AAPL,MO,NVDA",3,8,2004
2004-11-30,normal,low_conv,0.25002981494395166,1.9228819190850106,"NEE,FE,SRE",3,1,2004
2004-12-31,normal,hold_min,0.0004644554926209531,1.9237750121539912,"NEE,FE,SRE",3,2,2004
2005-01-31,normal,hold_min,0.0157235637786887,1.9540236112534421,"NEE,FE,SRE",3,3,2005
2005-02-28,normal,hold_min,0.05039651903578719,2.052499599374354,"NEE,FE,SRE",3,4,2005
2005-03-31,normal,hold_min,0.014845133440284998,2.0829692298131977,"NEE,FE,SRE",3,5,2005
2005-04-29,normal,hold_min,0.023198011286054903,2.131289973514909,"NEE,FE,SRE",3,6,2005
2005-05-31,normal,low_conv,0.0025017955346440758,2.13662202525368,"EXC,PEG,ADM",3,1,2005
2005-06-30,normal,hold_min,0.09573896968020369,2.3411800165474976,"EXC,PEG,ADM",3,2,2005
2005-07-29,bull,hold_min,0.05487077102912924,2.469642369173448,"EXC,PEG,ADM",3,3,2005
2005-08-31,bull,hold_min,0.004152495574054724,2.4798975481809387,"EXC,PEG,ADM",3,4,2005
