date,equity,ret_m,regime,n_picks,gross,picks,weights_csv
2003-09-30,1.0259381322487064,0.02696509734605252,bull,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2003-10-31,1.055725713082712,0.02903448063550921,recovery,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2003-11-28,1.122060177668831,0.06283304817159649,recovery,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2003-12-31,1.0789109372051402,-0.03845537104198534,recovery,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2004-01-30,1.098632312503731,0.018278965036426318,recovery,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2004-02-27,1.080739539702062,-0.01628640683332188,recovery,3,1.0,"CSX,SRE,NI","0.3235,0.3363,0.3402"
2004-03-31,0.9950628154226054,-0.07835436966478011,bull,3,1.0,"MO,BEN,SPG","0.2572,0.2959,0.4469"
2004-04-30,0.9742437236763433,-0.02092238944475095,bull,3,1.0,"MO,BEN,SPG","0.2572,0.2959,0.4469"
2004-05-31,0.9864173504805304,0.012495463412635079,recovery,3,1.0,"MO,BEN,SPG","0.2572,0.2959,0.4469"
2004-06-30,0.9654390083735507,-0.021267207127652524,recovery,3,1.0,"MO,BEN,SPG","0.2572,0.2959,0.4469"
2004-07-30,1.0442745630009735,0.08165772663385033,normal,3,1.0,"MO,BEN,SPG","0.2572,0.2959,0.4469"
2004-08-31,1.0332112373662299,-0.01059426900426503,normal,3,1.0,"MO,BEN,SPG","0.2572,0.2959,0.4469"
2004-09-30,1.0248970272254558,-0.00705401463613299,normal,3,1.0000000000000002,"NI,NEE,SRE","0.3385,0.3736,0.2879"
2004-10-29,1.072272366728003,0.046224487186579975,normal,3,1.0000000000000002,"NI,NEE,SRE","0.3385,0.3736,0.2879"
2004-11-30,1.1135160368873565,0.03846380027978067,recovery,3,1.0000000000000002,"NI,NEE,SRE","0.3385,0.3736,0.2879"
2004-12-31,1.1345976553593828,0.01893247853974022,recovery,3,1.0000000000000002,"NI,NEE,SRE","0.3385,0.3736,0.2879"
2005-01-31,1.1696268354059318,0.030873658059388107,normal,3,1.0000000000000002,"NI,NEE,SRE","0.3385,0.3736,0.2879"
