name,cagr_full,spy_cagr_full,edge_full_pp,sharpe,max_dd,n_cash,wf_mean_cagr,wf_median_cagr,wf_min_cagr,wf_max_cagr,wf_mean_sharpe,wf_min_sharpe,wf_mean_dd,wf_min_dd,wf_mean_edge_pp,wf_n_pos,wf_n_beats_spy,wf_n_splits,cfg
v3_baseline,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,1.0309443895155632,0.7301722273690158,-0.2976965019041197,-0.4745918757975244,27.994518269377345,10,9,10,"{""name"": ""v3_baseline"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0, ""spy_dd_scale"": 0.0, ""cash_sticky"": 0, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs0|ts0.35|cp1|k5_3_3|h6,0.02094490432466456,0.1194382410561079,-9.849333673144333,0.24859298147457634,-0.4503299141571418,211,-0.011893110397286587,0.0,-0.11893110397286588,0.0,-0.06493213289214043,-0.6493213289214044,-0.030067543435859496,-0.30067543435859495,-15.99533077367212,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs0|ts0.35|cp1|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.35, ""spy_dd_scale"": 0.0, ""cash_sticky"": 0, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs0|ts0.35|cp1|k5_5_5|h6,0.027934596484842977,0.1194382410561079,-9.150364457126493,0.3306294970722697,-0.3998155643995293,211,-0.010895806367620364,0.0,-0.10895806367620364,0.0,-0.05831992096784498,-0.5831992096784498,-0.03006754343585949,-0.3006754343585949,-15.895600370705498,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs0|ts0.35|cp1|k5_5_5|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 5, ""k_bull"": 5, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.35, ""spy_dd_scale"": 0.0, ""cash_sticky"": 0, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs0|ts0.35|cp2|k3_3_3|h6,0.018218277283736706,0.1194382410561079,-10.121996377237119,0.21795841825750586,-0.4783289375375586,211,-0.013415247890967463,0.0,-0.13415247890967463,0.0,-0.054000478323013766,-0.5400047832301377,-0.03762909841538682,-0.37629098415386825,-16.147544523040207,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs0|ts0.35|cp2|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.35, ""spy_dd_scale"": 0.0, ""cash_sticky"": 0, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs0|ts0.35|cp2|k5_3_3|h6,0.02094490432466456,0.1194382410561079,-9.849333673144333,0.24859298147457634,-0.4503299141571418,211,-0.011893110397286587,0.0,-0.11893110397286588,0.0,-0.06493213289214043,-0.6493213289214044,-0.030067543435859496,-0.30067543435859495,-15.99533077367212,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs0|ts0.35|cp2|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.35, ""spy_dd_scale"": 0.0, ""cash_sticky"": 0, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs0|ts0.35|cp2|k5_5_5|h6,0.027934596484842977,0.1194382410561079,-9.150364457126493,0.3306294970722697,-0.3998155643995293,211,-0.010895806367620364,0.0,-0.10895806367620364,0.0,-0.05831992096784498,-0.5831992096784498,-0.03006754343585949,-0.3006754343585949,-15.895600370705498,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs0|ts0.35|cp2|k5_5_5|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 5, ""k_bull"": 5, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.35, ""spy_dd_scale"": 0.0, ""cash_sticky"": 0, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.0|cp1|k3_3_3|h6,0.3977406189318511,0.1194382410561079,27.83023778757432,0.9553637477926258,-0.49828619285029263,4,0.42800538003320804,0.39897919814733074,0.14492104439496223,1.0879351638068608,1.0309443895155632,0.7301722273690158,-0.2976965019041197,-0.4745918757975244,27.994518269377345,10,9,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.0|cp1|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.0|cp1|k5_3_3|h6,0.33666112206385357,0.1194382410561079,21.722288100774566,0.8867270157946717,-0.6253447964652183,4,0.3586244182176934,0.38406721657372267,0.011694669217762188,0.777834485258889,0.9132276950562941,0.15298379382973654,-0.32233799522025347,-0.5667406250258803,21.05642208782588,10,9,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.0|cp1|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.0|cp1|k5_5_5|h6,0.2980833639091178,0.1194382410561079,17.864512285300993,0.8588307090930304,-0.5909142089595415,4,0.29544281793433685,0.29711353258451745,0.04753139829500763,0.6707996455163325,0.8923375063813129,0.3371123276700551,-0.2752790898659462,-0.5667406250258804,14.738262059490228,10,8,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.0|cp1|k5_5_5|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 5, ""k_bull"": 5, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.0, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.0|cp2|k3_3_3|h6,0.24071437672178697,0.1194382410561079,12.127613566567907,0.6992505431774616,-0.8191498174615551,0,0.28804605850213605,0.32334489850341475,-0.31756138130044687,0.7816227165766676,0.9502513848336834,-0.3178102080723517,-0.46772071269362325,-0.8191498174615552,13.998586116270143,9,7,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.0|cp2|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.0, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.0|cp2|k5_3_3|h6,0.28610667262099687,0.1194382410561079,16.6668431564889,0.8143092518657676,-0.7450762701786589,0,0.32219503986365927,0.30575059151410844,-0.09109362729384263,0.7205315452418508,1.0273878048366805,0.0765255353310632,-0.38651224883788293,-0.7052006890431137,17.413484252422464,9,9,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.0|cp2|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.0, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.0|cp2|k5_5_5|h6,0.2555759821863992,0.1194382410561079,13.61377411302913,0.7767824690781293,-0.7216489329788104,0,0.2708888060171096,0.2836424484533109,-0.0597797609786489,0.5119811783629085,0.9863068848329212,0.13205823907985467,-0.38898677697050166,-0.7052006890431137,12.282860867767496,9,8,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.0|cp2|k5_5_5|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 5, ""k_bull"": 5, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.0, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.2|cp1|k3_3_3|h6,0.03357171885627186,0.1194382410561079,-8.586652219983604,0.4119253295451887,-0.2712855862886264,215,-0.0032104905117103623,0.0,-0.03210490511710362,0.0,-0.05773502691896256,-0.5773502691896256,0.0,0.0,-15.127068785114497,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.2|cp1|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.2, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.2|cp1|k5_3_3|h6,0.0339162878999959,0.1194382410561079,-8.5521953156112,0.4138022726567683,-0.2712855862886264,215,-0.0032104905117103623,0.0,-0.03210490511710362,0.0,-0.05773502691896256,-0.5773502691896256,0.0,0.0,-15.127068785114497,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.2|cp1|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.2, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.2|cp1|k5_5_5|h6,0.04017208138720041,0.1194382410561079,-7.926615966890749,0.5381502962384378,-0.21824335133287281,215,-0.0026893375160110034,0.0,-0.026893375160110033,0.0,-0.057735026918962574,-0.5773502691896257,0.0,0.0,-15.074953485544563,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.2|cp1|k5_5_5|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 5, ""k_bull"": 5, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.2, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.2|cp2|k3_3_3|h6,0.03357171885627186,0.1194382410561079,-8.586652219983604,0.4119253295451887,-0.2712855862886264,215,-0.0032104905117103623,0.0,-0.03210490511710362,0.0,-0.05773502691896256,-0.5773502691896256,0.0,0.0,-15.127068785114497,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.2|cp2|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.2, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.2|cp2|k5_3_3|h6,0.0339162878999959,0.1194382410561079,-8.5521953156112,0.4138022726567683,-0.2712855862886264,215,-0.0032104905117103623,0.0,-0.03210490511710362,0.0,-0.05773502691896256,-0.5773502691896256,0.0,0.0,-15.127068785114497,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.2|cp2|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.2, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.2|cp2|k5_5_5|h6,0.04017208138720041,0.1194382410561079,-7.926615966890749,0.5381502962384378,-0.21824335133287281,215,-0.0026893375160110034,0.0,-0.026893375160110033,0.0,-0.057735026918962574,-0.5773502691896257,0.0,0.0,-15.074953485544563,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.2|cp2|k5_5_5|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 5, ""k_bull"": 5, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.2, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.25|cp1|k3_3_3|h6,0.03357171885627186,0.1194382410561079,-8.586652219983604,0.4119253295451887,-0.2712855862886264,215,-0.0032104905117103623,0.0,-0.03210490511710362,0.0,-0.05773502691896256,-0.5773502691896256,0.0,0.0,-15.127068785114497,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.25|cp1|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.25, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.25|cp1|k5_3_3|h6,0.0339162878999959,0.1194382410561079,-8.5521953156112,0.4138022726567683,-0.2712855862886264,215,-0.0032104905117103623,0.0,-0.03210490511710362,0.0,-0.05773502691896256,-0.5773502691896256,0.0,0.0,-15.127068785114497,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.25|cp1|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.25, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.25|cp1|k5_5_5|h6,0.027934596484842977,0.1194382410561079,-9.150364457126493,0.3306294970722697,-0.3998155643995293,211,-0.010895806367620364,0.0,-0.10895806367620364,0.0,-0.05831992096784498,-0.5831992096784498,-0.03006754343585949,-0.3006754343585949,-15.895600370705498,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.25|cp1|k5_5_5|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 5, ""k_bull"": 5, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.25, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.25|cp2|k3_3_3|h6,0.03357171885627186,0.1194382410561079,-8.586652219983604,0.4119253295451887,-0.2712855862886264,215,-0.0032104905117103623,0.0,-0.03210490511710362,0.0,-0.05773502691896256,-0.5773502691896256,0.0,0.0,-15.127068785114497,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.25|cp2|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.25, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.25|cp2|k5_3_3|h6,0.0339162878999959,0.1194382410561079,-8.5521953156112,0.4138022726567683,-0.2712855862886264,215,-0.0032104905117103623,0.0,-0.03210490511710362,0.0,-0.05773502691896256,-0.5773502691896256,0.0,0.0,-15.127068785114497,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.25|cp2|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.25, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.25|cp2|k5_5_5|h6,0.027934596484842977,0.1194382410561079,-9.150364457126493,0.3306294970722697,-0.3998155643995293,211,-0.010895806367620364,0.0,-0.10895806367620364,0.0,-0.05831992096784498,-0.5831992096784498,-0.03006754343585949,-0.3006754343585949,-15.895600370705498,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.25|cp2|k5_5_5|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 5, ""k_bull"": 5, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.25, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.3|cp1|k3_3_3|h6,0.018218277283736706,0.1194382410561079,-10.121996377237119,0.21795841825750586,-0.4783289375375586,211,-0.013415247890967463,0.0,-0.13415247890967463,0.0,-0.054000478323013766,-0.5400047832301377,-0.03762909841538682,-0.37629098415386825,-16.147544523040207,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.3|cp1|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.3, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.3|cp1|k5_3_3|h6,0.02094490432466456,0.1194382410561079,-9.849333673144333,0.24859298147457634,-0.4503299141571418,211,-0.011893110397286587,0.0,-0.11893110397286588,0.0,-0.06493213289214043,-0.6493213289214044,-0.030067543435859496,-0.30067543435859495,-15.99533077367212,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.3|cp1|k5_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.3, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.3|cp1|k5_5_5|h6,0.027934596484842977,0.1194382410561079,-9.150364457126493,0.3306294970722697,-0.3998155643995293,211,-0.010895806367620364,0.0,-0.10895806367620364,0.0,-0.05831992096784498,-0.5831992096784498,-0.03006754343585949,-0.3006754343585949,-15.895600370705498,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.3|cp1|k5_5_5|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 5, ""k_recovery"": 5, ""k_bull"": 5, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 1, ""trailing_stop"": 0.3, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
w=ew|cy0.0|sds0.0|cs1|ts0.3|cp2|k3_3_3|h6,0.018218277283736706,0.1194382410561079,-10.121996377237119,0.21795841825750586,-0.4783289375375586,211,-0.013415247890967463,0.0,-0.13415247890967463,0.0,-0.054000478323013766,-0.5400047832301377,-0.03762909841538682,-0.37629098415386825,-16.147544523040207,0,0,10,"{""name"": ""w=ew|cy0.0|sds0.0|cs1|ts0.3|cp2|k3_3_3|h6"", ""scorer"": ""ml_3plus6"", ""universe"": ""sp500_pit"", ""regime_gate"": ""tight"", ""k_normal"": 3, ""k_recovery"": 3, ""k_bull"": 3, ""weighting"": ""ew"", ""hold_months"": 6, ""cost_bps"": 10.0, ""cap_per_pick"": 1.0, ""vol_target_yr"": 0.0, ""half_cash_warning"": false, ""cash_yield_yr"": 0.0, ""drawdown_de_risk"": 0.0, ""crash_persist"": 2, ""trailing_stop"": 0.3, ""spy_dd_scale"": 0.0, ""cash_sticky"": 1, ""vol_penalty"": 0.0}"
